file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,66,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,12
style.css,67,css,aa83ccd2,Parth Sandeep,2025-04-11,14:12:33,-07:00,2025-04-11T14:12:33-07:00,0,13
style.css,68,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,0
style.css,69,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,0
style.css,70,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,5
style.css,71,css,aa83ccd2,Parth Sandeep,2025-04-11,14:12:33,-07:00,2025-04-11T14:12:33-07:00,0,13
style.css,72,css,aa83ccd2,Parth Sandeep,2025-04-11,14:12:33,-07:00,2025-04-11T14:12:33-07:00,0,31
style.css,73,css,aa83ccd2,Parth Sandeep,2025-04-11,14:12:33,-07:00,2025-04-11T14:12:33-07:00,0,8
style.css,74,css,aa83ccd2,Parth Sandeep,2025-04-11,14:12:33,-07:00,2025-04-11T14:12:33-07:00,0,16
style.css,75,css,aa83ccd2,Parth Sandeep,2025-04-11,14:12:33,-07:00,2025-04-11T14:12:33-07:00,0,19
style.css,76,css,aa83ccd2,Parth Sandeep,2025-04-11,14:12:33,-07:00,2025-04-11T14:12:33-07:00,0,15
style.css,77,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,0
style.css,78,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,0
style.css,79,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,11
style.css,80,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,17
style.css,81,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,0
style.css,82,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,0
style.css,83,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,10
style.css,84,css,a2f14699,Parth Sandeep,2025-04-19,13:59:31,-07:00,2025-04-19T13:59:31-07:00,0,14
style.css,85,css,aa83ccd2,Parth Sandeep,2025-04-11,14:12:33,-07:00,2025-04-11T14:12:33-07:00,0,11
